City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
224,Namatanai,PG,83.97,clear sky,-3.6667,152.4333,Namatanai Hotel
225,Barao De Cocais,BR,78.8,clear sky,-19.9458,-43.4872,Impar Suites Barao de Cocais
227,Port Augusta,AU,89.01,moderate rain,-32.5,137.7667,Majestic Oasis Apartments
228,Hobyo,SO,76.68,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
236,Sao Sebastiao,BR,74.77,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
237,Chimore,BO,75.4,scattered clouds,-16.9833,-65.1333,Bichito
239,Upata,VE,80.01,overcast clouds,8.0086,-62.3989,Posada Villa Nela
241,Morondava,MG,78.48,overcast clouds,-20.2833,44.2833,La Case Bambou
246,Honiara,SB,84.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
247,Black River,JM,81.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
248,Kavaratti,IN,80.91,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
252,Umm Lajj,SA,71.69,clear sky,25.0213,37.2685,Moon light Furnished Units
254,Geraldton,AU,70.09,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
257,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
258,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
259,Sabang,ID,80.73,broken clouds,5.8933,95.3214,Hotel Citra
263,Les Cayes,HT,76.84,broken clouds,18.2,-73.75,Villa Orphee
266,Caravelas,BR,77.77,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
267,Labuhan,ID,76.53,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
271,Santa Ines,BR,75.29,overcast clouds,-3.6667,-45.38,HOTEL TOP
274,Tomatlan,MX,82.62,overcast clouds,19.9333,-105.25,Norma franco
277,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
279,Jalingo,NG,76.5,few clouds,8.8833,11.3667,Debright Motel
281,Alice Springs,AU,82.4,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
283,Pangkalanbuun,ID,74.75,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
292,Bitung,ID,73.4,moderate rain,1.4451,125.1824,K2 Lembeh
293,Camargo,MX,77.02,few clouds,27.6667,-105.1667,Hotel Santa Fe
294,Bengkulu,ID,77.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
295,Manado,ID,73.4,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
297,Gurupa,BR,75.74,light rain,-1.405,-51.64,Residencial DWD
298,Daru,PG,80.91,overcast clouds,-9.0763,143.2092,Daru Lodge
299,Quatre Cocos,MU,77.0,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
306,Traipu,BR,76.41,broken clouds,-9.9706,-37.0033,Fazenda Bela Vista
309,Pochutla,MX,84.2,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
315,Alofi,NU,84.2,moderate rain,-19.0595,-169.9187,Taloa Heights
317,Flinders,AU,80.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
319,Kahului,US,87.8,few clouds,20.8947,-156.47,Maui Seaside Hotel
325,Muli,MV,80.82,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
327,Comodoro Rivadavia,AR,87.8,scattered clouds,-45.8667,-67.5,Austral Hotel
329,Altamira,BR,74.75,broken clouds,-3.2033,-52.2064,Requinte Hotel
330,Sibu,MY,77.0,few clouds,2.3,111.8167,RH HOTEL (4 Star)
334,Rancagua,CL,86.0,few clouds,-34.1708,-70.7444,Hotel Mar Andino
339,Rock Sound,BS,74.07,few clouds,24.9,-76.2,Rock Sound Club
340,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
343,Kudahuvadhoo,MV,81.39,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
345,Dubbo,AU,84.2,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
350,Kloulklubed,PW,81.93,few clouds,7.0419,134.2556,Storyboard Beach Resort
352,Kollam,IN,77.0,mist,8.8833,76.6,The Raviz Ashtamudi
353,Santiago Del Estero,AR,84.99,moderate rain,-27.7951,-64.2615,Hotel Urbano
355,Katobu,ID,77.81,overcast clouds,-4.9408,122.5276,La Ode Husein
357,Valledupar,CO,82.65,broken clouds,10.4631,-73.2532,Hotel Arawak Upar
362,Korhogo,CI,72.97,clear sky,9.45,-5.6333,Hôtel Tchinbota
363,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
368,Payo,ID,73.45,overcast clouds,-3.7508,103.6372,Mess keban agung
370,Portobelo,PA,81.0,scattered clouds,9.55,-79.65,Scuba Portobelo
373,Matamoros,MX,87.01,broken clouds,25.5333,-103.25,Quinta Belem
378,Manggar,ID,78.84,moderate rain,-2.8833,108.2667,Guest Hotel
379,Inhambane,MZ,80.06,overcast clouds,-23.865,35.3833,Oceano
382,Pangai,TO,75.2,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
383,Shakawe,BW,70.16,clear sky,-18.3667,21.85,Ditlhapi Guest House
384,Fare,PF,81.63,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
